WorkTimeInSeconds,Input.idx,Answer.feedback,Answer.how-good-instruction,Answer.how-helpful-model,WorkerId,Answer.uid,uid,title,collab poem,solo poem,Input.title,WorkTimeInSeconds,
314,1,,5,5,A22DF0EWILGRLV,3ef592bd-0ddb-4bb7-833f-40592ee0eaa5,3ef592bd-0ddb-4bb7-833f-40592ee0eaa5,A Breakup: The Talk,"Coffee, tea, gin, whiskey... whatever took your fancy.
We talked, you watched, I listened.
I walked away, but you stayed.
You said you cared, but you didn't.","Having a talk can be hard
Everyone is on their guard
I asked him to sit
and explained it was time to split",A Breakup: The Talk,948,Equal
235,5,,5,5,A3B1P3B6X3AM2B,b7544df5-15a8-42da-80d0-beedb8834868,b7544df5-15a8-42da-80d0-beedb8834868,A Samurai and his Sandwich,"The samurai ate a sandwich for lunch.
He ate it with his chopsticks.
I watched him as he ate it.
And then he went and dropped it.","Bloody battles awaits for our sword wielding friend.
Contest of steel upon steel, till only one is left in the end.
Protected his most precious item from the fiends now all bloody.
But a sandwich, his favorite meal, ham cheese mustard and honey.",A Samurai and his Sandwich,837,Solo
614,4,"The AI is very competent, some features are definitely more useful than others though.",5,5,A173A97OFDAX9F,862a7e4b-7e26-4949-a8f5-afa5bbb238b4,862a7e4b-7e26-4949-a8f5-afa5bbb238b4,A satisfied trip,"I’m taking a trip, with stops at zoos, aquariums.
I want to see a polar bear! I’ll take photos of penguins.
And in the travels i have made.
I feel now a profound satisfaction.","What is a satisfied trip? 
Is it the long road trips?
That consist of friends and eating chips?
Or is it the memories we make on the trip",A satisfied trip,1042,Collab
364,3,"Having more options to choose from, a larger pool, would be a help.",4.5,4,A7P3R1AIA4TVV,55d19ef2-9e65-42bc-bc86-73266bd559d4,55d19ef2-9e65-42bc-bc86-73266bd559d4,Adrift,"A cloud of memory flows across the horizon.
The sailor's mate; when the seas tighten.
I'll find my way back to my native shore.
Then sigh no more.","At thirty two I had no vision
No real hopes, apathetic indecision
Every day was like being on a boat
With no direction all I do is float",Adrift,185,Solo
801,1,No feedback at this time.,3,3.5,A26K8OELA8ZDI9,7c0703ff-ab65-453a-9f62-9e2937948ece,7c0703ff-ab65-453a-9f62-9e2937948ece,Another Day,"The world has not yet awakened.
Darkness still creeps, but the day is not far.
Oh wait! there's the sun, and thus a solitary regret.
I still can't believe I haven't been to bed yet.","Today is just another day
There is so much I want to say
but my words have little sway
so instead I just pray",Another Day,760,Collab
337,3,I think it works very fine and I wish I had this whenever I had writer's block.,4,4.5,A11YS0T8MV3Q7C,c1f35931-3a2c-45c8-9eb8-346eca7365a6,c1f35931-3a2c-45c8-9eb8-346eca7365a6,Breathless,"The storm grew fiercer and fierce.
As we escaped, we screamed.
Fear is a stumbling block.
And it's getting harder to breathe.
Then all the world was dead.
Before I could say a peep
With black birds swarming around our heads.
We were lost in the deep. ","He left me breathless
I felt like a mess
Trying to figure out my feelings gave me stress
I did want to eventually confess",Breathless,1524,Collab
959,1,,5,4,A3B1P3B6X3AM2B,0c0eabac-410c-484a-8462-96662fb86f7f,0c0eabac-410c-484a-8462-96662fb86f7f,Captors,"There once was a man who was abducted.
They covered his head in a bucket.
The man was confused and didn't know what to do.
So he dashed and caused a ruckus.","The war has ended, leaving deaths and sorrows;
He crawls on the ground, escaping from being captured;
Dreaded and painful, freedom is the only hope he has;
""No, No, No,"" the captor says, there's nothing left to you.",Captors,1057,Equal
680,3,,5,5,A22DF0EWILGRLV,f22ae147-5032-436a-bbef-0eb94362aa94,f22ae147-5032-436a-bbef-0eb94362aa94,Climate Change,"Mother earth could get no rest.
Inspite of always trying her best.
It was because her heart was shattered.
As planet earth, smothered by the weight, lies bare and tattered.","Climate change is caused by us
Now the world is making a fuss
We acted a bit sus
and now this happened because of us",Climate Change,3450,Collab
1046,4,Some of the rhyming words it suggested didn't really rhyme.,3,4.5,ADJ9I7ZBFYFH7,54098018-5da8-4130-80a9-1441c862da8e,54098018-5da8-4130-80a9-1441c862da8e,Decadence,"The cake is like a cloud of joy.
The frosting is like a rainbow.
One slice is heaven on Earth,
A flowing chocolate volcano.","Open up Instagram and you will see all of the pleasures you'll ever need
Photos of food, cars, and female models
All competing for likes and comments
Social connection broken down, with many indulgences all around",Decadence,519,Collab
451,7,,5,4,A3B1P3B6X3AM2B,543e9a81-455c-4644-b557-20d390f601cf,543e9a81-455c-4644-b557-20d390f601cf,Deep Ocean,"Into the depths of the ocean.
I can't see what lies ahead,
So I'll just keep swimming.
Unless I wind up dead.","No one had a notion
Not even after all the commotion
Everything felt like it was in slow motion
As I slowly drowned in this deep ocean",Deep Ocean,2138,Equal
