HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.title,Input.poem_1,Input.poem_2,Answer.accurate1-1.yes,Answer.accurate1-2.no,Answer.accurate2-1.yes,Answer.accurate2-2.no,Answer.creative1.creative1,Answer.creative2.creative2,Retain%,Answer.submitcode,Approve,Reject
3JHB4BPSGOUXK81MB9D5AJVYKOA9QQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3Z9WI9EOZ496BVJ3MIM2GYD2TYEKH0,A1ZDR2UN7M92LI,Approved,Sat May 14 10:19:31 PDT 2022,Sat May 14 10:27:24 PDT 2022,Tue May 17 10:27:24 PDT 2022,Sat May 14 10:34:19 PDT 2022,,,473,100% (4/4),100% (2/2),100% (2/2),A Breakup: The Talk,"Coffee, tea, gin, whiskey... whatever took your fancy.<br />We talked, you watched, I listened.<br />I walked away, but you stayed.<br />You said you cared, but you didn't.",Having a talk can be hard<br />Everyone is on their guard<br />I asked him to sit<br />and explained it was time to split,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,100,Mentions splitting up.,,
3JHB4BPSGOUXK81MB9D5AJVYKOA9QQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,39O5D9O87YD9YP0GFKG2OLZK5K63CI,A3G5OWGKHW6OL5,Approved,Sat May 14 13:24:01 PDT 2022,Sat May 14 13:49:51 PDT 2022,Tue May 17 13:49:51 PDT 2022,Sat May 14 14:45:23 PDT 2022,,,1550,100% (43/43),100% (20/20),100% (20/20),A Breakup: The Talk,"Coffee, tea, gin, whiskey... whatever took your fancy.<br />We talked, you watched, I listened.<br />I walked away, but you stayed.<br />You said you cared, but you didn't.",Having a talk can be hard<br />Everyone is on their guard<br />I asked him to sit<br />and explained it was time to split,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,100,Explicitly talks about a breakup.,,
3JHB4BPSGOUXK81MB9D5AJVYKOA9QQ,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3M68NM076MSC1ACHGJ4VKJAQFCSR6Z,AONSG5WOC3OX0,Approved,Sat May 14 10:19:25 PDT 2022,Sat May 14 10:22:28 PDT 2022,Tue May 17 10:22:28 PDT 2022,Sat May 14 10:34:19 PDT 2022,,,183,100% (75/75),100% (32/32),100% (32/32),A Breakup: The Talk,"Coffee, tea, gin, whiskey... whatever took your fancy.<br />We talked, you watched, I listened.<br />I walked away, but you stayed.<br />You said you cared, but you didn't.",Having a talk can be hard<br />Everyone is on their guard<br />I asked him to sit<br />and explained it was time to split,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,100,It's more relatable.,,
39I4RL8QHN2JA9W7BOUKKXSH7904HT,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3ERET4BTVRUDWP1KO6YA3HFEAM7K9D,A163XFZG5BI0XU,Approved,Sat May 14 15:26:15 PDT 2022,Sat May 14 15:49:28 PDT 2022,Tue May 17 15:49:28 PDT 2022,Sat May 14 16:15:50 PDT 2022,,,1393,100% (2/2),100% (1/1),100% (1/1),A Samurai and his Sandwich,The samurai ate a sandwich for lunch.<br />He ate it with his chopsticks.<br />I watched him as he ate it.<br />And then he went and dropped it.,"Bloody battles awaits for our sword wielding friend.<br />Contest of steel upon steel, till only one is left in the end.<br />Protected his most precious item from the fiends now all bloody.<br />But a sandwich, his favorite meal, ham cheese mustard and honey.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,68,Poem 1 talks about the samurai and his sandwich in the whole poem.  The other one only briefly mentions the sandwich.,,
39I4RL8QHN2JA9W7BOUKKXSH7904HT,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,31HQ4X3T3XV6LAF1ICA2ZCXJR91SLX,AKQAI78JTXXC9,Approved,Sat May 14 10:29:20 PDT 2022,Sat May 14 10:37:56 PDT 2022,Tue May 17 10:37:56 PDT 2022,Sat May 14 11:00:17 PDT 2022,,,516,100% (193/193),100% (10/10),100% (9/9),A Samurai and his Sandwich,The samurai ate a sandwich for lunch.<br />He ate it with his chopsticks.<br />I watched him as he ate it.<br />And then he went and dropped it.,"Bloody battles awaits for our sword wielding friend.<br />Contest of steel upon steel, till only one is left in the end.<br />Protected his most precious item from the fiends now all bloody.<br />But a sandwich, his favorite meal, ham cheese mustard and honey.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,68,sandwich more integral to poem 1,,
39I4RL8QHN2JA9W7BOUKKXSH7904HT,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3A4TN5196P3OSX7FU554SF0UOP6CHG,AONSG5WOC3OX0,Approved,Sat May 14 10:25:23 PDT 2022,Sat May 14 10:29:09 PDT 2022,Tue May 17 10:29:09 PDT 2022,Sat May 14 10:34:18 PDT 2022,,,226,100% (75/75),100% (32/32),100% (32/32),A Samurai and his Sandwich,The samurai ate a sandwich for lunch.<br />He ate it with his chopsticks.<br />I watched him as he ate it.<br />And then he went and dropped it.,"Bloody battles awaits for our sword wielding friend.<br />Contest of steel upon steel, till only one is left in the end.<br />Protected his most precious item from the fiends now all bloody.<br />But a sandwich, his favorite meal, ham cheese mustard and honey.",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,68,Much more poetic and stylistic.,,
37VUR2VJ7EAB12O82EXHB8OYIXLC1F,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,30BXRYBRP9IX6VDKBW55497XG5NWH8,A3C2KN2GHTDK61,Approved,Sat May 14 10:20:25 PDT 2022,Sat May 14 10:22:10 PDT 2022,Tue May 17 10:22:10 PDT 2022,Sat May 14 10:34:17 PDT 2022,,,105,100% (5/5),100% (5/5),100% (5/5),A satisfied trip,"I’m taking a trip, with stops at zoos, aquariums.<br />I want to see a polar bear! I’ll take photos of penguins.<br />And in the travels i have made.<br />I feel now a profound satisfaction.",What is a satisfied trip? <br />Is it the long road trips?<br />That consist of friends and eating chips?<br />Or is it the memories we make on the trip,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,100,Good,,
37VUR2VJ7EAB12O82EXHB8OYIXLC1F,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3FTF2T8WLW34RPV1DKHDRS99XSF9WV,A3CH1Z6J9R38G9,Approved,Sat May 14 10:19:24 PDT 2022,Sat May 14 11:00:03 PDT 2022,Tue May 17 11:00:03 PDT 2022,Sat May 14 11:40:42 PDT 2022,,,2439,100% (1/1),100% (1/1),100% (1/1),A satisfied trip,"I’m taking a trip, with stops at zoos, aquariums.<br />I want to see a polar bear! I’ll take photos of penguins.<br />And in the travels i have made.<br />I feel now a profound satisfaction.",What is a satisfied trip? <br />Is it the long road trips?<br />That consist of friends and eating chips?<br />Or is it the memories we make on the trip,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,100,Poem 2 has more information about trips and ponders what makes them satisfying,,
37VUR2VJ7EAB12O82EXHB8OYIXLC1F,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3EJPLAJKER1L31Y8Q0Y86MCPOTM6ZI,AT6LDQNLKTUSE,Approved,Sat May 14 11:22:37 PDT 2022,Sat May 14 12:09:19 PDT 2022,Tue May 17 12:09:19 PDT 2022,Sat May 14 12:34:03 PDT 2022,,,2802,100% (3/3),100% (2/2),100% (1/1),A satisfied trip,"I’m taking a trip, with stops at zoos, aquariums.<br />I want to see a polar bear! I’ll take photos of penguins.<br />And in the travels i have made.<br />I feel now a profound satisfaction.",What is a satisfied trip? <br />Is it the long road trips?<br />That consist of friends and eating chips?<br />Or is it the memories we make on the trip,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,100,"While I feel they both discuss the topic, the first poem does a better job at expressing the concept of satisfaction, instead of merely questioning it.",,
3XH7ZM9YY6FXW9GMOO25F953GAC9RR,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,3CPLWGV3MTKE4VMNLJQQV9WI4GBN9I,A1VMPZVVVZUCS4,Approved,Sat May 14 10:19:30 PDT 2022,Sat May 14 10:23:44 PDT 2022,Tue May 17 10:23:44 PDT 2022,Sat May 14 10:34:22 PDT 2022,,,254,100% (57/57),100% (10/10),100% (10/10),Adrift,A cloud of memory flows across the horizon.<br />The sailor's mate; when the seas tighten.<br />I'll find my way back to my native shore.<br />Then sigh no more.,"At thirty two I had no vision<br />No real hopes, apathetic indecision<br />Every day was like being on a boat<br />With no direction all I do is float",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,100,"#2 is a positive example because it has imagery of aimlessness (being ""adrift"") but #1 doesn't really.",,
3XH7ZM9YY6FXW9GMOO25F953GAC9RR,3I3SD0LMZ8DM2M71UHVI3G1FAD2SHW,Pick the better poem,"Given 2 poems on the same topic, decide which one is more creative and interesting","survey, categorize, image",$0.25,Sat May 14 10:19:14 PDT 2022,3,BatchId:4739845;OriginalHitTemplateId:928390912;,3600,259200,Sat May 21 10:19:14 PDT 2022,,,39N5ACM9HJ8E7GY01Y3IZY1D4VCP9G,A3G5OWGKHW6OL5,Approved,Sat May 14 11:10:28 PDT 2022,Sat May 14 11:33:00 PDT 2022,Tue May 17 11:33:00 PDT 2022,Sat May 14 11:40:47 PDT 2022,,,1352,100% (43/43),100% (20/20),100% (20/20),Adrift,A cloud of memory flows across the horizon.<br />The sailor's mate; when the seas tighten.<br />I'll find my way back to my native shore.<br />Then sigh no more.,"At thirty two I had no vision<br />No real hopes, apathetic indecision<br />Every day was like being on a boat<br />With no direction all I do is float",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,100,Is more direct in terms of the title.,,
